date,alignment,n_gates
2026-01-17 00:00:00+00:00,0.7491074823310667,9
2026-01-18 00:00:00+00:00,0.7797727839731909,9
2026-01-19 00:00:00+00:00,0.7995160104063586,9
2026-01-20 00:00:00+00:00,0.7556862204882514,9
2026-01-21 00:00:00+00:00,0.7436951198697179,9
2026-01-22 00:00:00+00:00,0.6952033659576345,9
2026-01-23 00:00:00+00:00,0.6472797123737561,9
2026-01-24 00:00:00+00:00,0.6250478213261235,9
2026-01-25 00:00:00+00:00,0.6256882015121982,9
2026-01-26 00:00:00+00:00,0.5594268292118408,9
2026-01-27 00:00:00+00:00,0.43417795283055194,9
2026-01-28 00:00:00+00:00,0.34871200688916276,9
2026-01-29 00:00:00+00:00,0.26676545857488915,9
2026-01-30 00:00:00+00:00,0.23769651753029078,9
2026-01-31 00:00:00+00:00,0.23441112032034048,9
2026-02-01 00:00:00+00:00,0.24221936854574203,9
2026-02-02 00:00:00+00:00,0.27997302755665104,9
2026-02-03 00:00:00+00:00,0.2842207791014651,9
2026-02-04 00:00:00+00:00,0.2860541984022941,9
2026-02-05 00:00:00+00:00,0.23073691513078115,9
2026-02-06 00:00:00+00:00,0.23298618191722292,9
2026-02-07 00:00:00+00:00,0.2319972297269256,9
2026-02-08 00:00:00+00:00,0.24094535940409237,9
2026-02-09 00:00:00+00:00,0.24960166920992305,9
2026-02-10 00:00:00+00:00,0.22670027688296066,9
2026-02-11 00:00:00+00:00,0.18342579498026546,9
2026-02-12 00:00:00+00:00,0.18844220786474375,9
2026-02-13 00:00:00+00:00,0.18920814660697144,9
2026-02-14 00:00:00+00:00,0.18200616971914343,9
2026-02-15 00:00:00+00:00,0.18245865696765456,9
2026-02-16 00:00:00+00:00,0.17985772269588984,9
2026-02-17 00:00:00+00:00,0.16473497090859973,9
2026-02-18 00:00:00+00:00,0.14352869504853305,9
2026-02-19 00:00:00+00:00,0.1385678988746091,9
2026-02-20 00:00:00+00:00,0.15882109444073556,9
2026-02-21 00:00:00+00:00,0.18102662262746747,9
2026-02-22 00:00:00+00:00,0.17482191796448007,9
2026-02-23 00:00:00+00:00,0.16904661862814463,9
2026-02-24 00:00:00+00:00,0.18124704442806697,9
2026-02-25 00:00:00+00:00,0.21009703463515686,9
2026-02-26 00:00:00+00:00,0.19750004164297572,9
2026-02-27 00:00:00+00:00,0.22697180400116004,9
2026-02-28 00:00:00+00:00,0.18728516046929608,9
2026-03-01 00:00:00+00:00,0.22478404721537118,9
2026-03-02 00:00:00+00:00,0.22908565042428344,9
2026-03-03 00:00:00+00:00,0.21897399142055116,9
2026-03-04 00:00:00+00:00,0.21942007277692116,9
2026-03-05 00:00:00+00:00,0.26393337105288106,9
2026-03-06 00:00:00+00:00,0.30078744901235993,9
2026-03-07 00:00:00+00:00,0.32663946405054384,9
2026-03-08 00:00:00+00:00,0.2533435828285242,9
2026-03-09 00:00:00+00:00,0.2503377730475944,9
2026-03-10 00:00:00+00:00,0.2487498877829294,9
2026-03-11 00:00:00+00:00,0.26687278045172935,9
2026-03-12 00:00:00+00:00,0.335692903416137,9
2026-03-13 00:00:00+00:00,0.3487281429380162,9
2026-03-14 00:00:00+00:00,0.3347421825802823,9
2026-03-15 00:00:00+00:00,0.31617398792921925,9
2026-03-16 00:00:00+00:00,0.27001782680488323,9
2026-03-17 00:00:00+00:00,0.2556962792697803,9
2026-03-18 00:00:00+00:00,0.2519173481151396,9
2026-03-19 00:00:00+00:00,0.2687691253536526,9
2026-03-20 00:00:00+00:00,0.27095378857697255,9
2026-03-21 00:00:00+00:00,0.26442473595112975,9
2026-03-22 00:00:00+00:00,0.27194804686230933,9
2026-03-23 00:00:00+00:00,0.29442749393979645,9
2026-03-24 00:00:00+00:00,0.2581356095623022,9
2026-03-25 00:00:00+00:00,0.22815672936312026,9
2026-03-26 00:00:00+00:00,0.1940782720227078,9
2026-03-27 00:00:00+00:00,0.19662994560276098,9
2026-03-28 00:00:00+00:00,0.21456653547458285,9
2026-03-29 00:00:00+00:00,0.22477801354299512,9
2026-03-30 00:00:00+00:00,0.22434348962645453,9
2026-03-31 00:00:00+00:00,0.2104169315311788,9
2026-04-01 00:00:00+00:00,0.25444921026016126,9
2026-04-02 00:00:00+00:00,0.28290016539645163,9
2026-04-03 00:00:00+00:00,0.29921081844579633,9
2026-04-04 00:00:00+00:00,0.3038864074606784,9
2026-04-05 00:00:00+00:00,0.25499565154536585,9
2026-04-06 00:00:00+00:00,0.25436586886257584,9
2026-04-07 00:00:00+00:00,0.28581049857135754,9
2026-04-08 00:00:00+00:00,0.32661386021476396,9
2026-04-09 00:00:00+00:00,0.35427389720765656,9
2026-04-10 00:00:00+00:00,0.36191360714267234,9
2026-04-11 00:00:00+00:00,0.3673634283437485,9
2026-04-12 00:00:00+00:00,0.3476256404419477,9
2026-04-13 00:00:00+00:00,0.37652565556848766,9
2026-04-14 00:00:00+00:00,0.3592297991932845,9
2026-04-15 00:00:00+00:00,0.354469187561095,9
