regime,start,end,duration_days
UNSTABLE,2026-01-17 00:00:00+00:00,2026-01-27 00:00:00+00:00,11
TRANSITION,2026-01-28 00:00:00+00:00,2026-02-10 00:00:00+00:00,14
STABLE,2026-02-11 00:00:00+00:00,2026-02-24 00:00:00+00:00,14
TRANSITION,2026-02-25 00:00:00+00:00,2026-02-25 00:00:00+00:00,1
STABLE,2026-02-26 00:00:00+00:00,2026-02-26 00:00:00+00:00,1
TRANSITION,2026-02-27 00:00:00+00:00,2026-02-27 00:00:00+00:00,1
STABLE,2026-02-28 00:00:00+00:00,2026-02-28 00:00:00+00:00,1
TRANSITION,2026-03-01 00:00:00+00:00,2026-03-25 00:00:00+00:00,25
STABLE,2026-03-26 00:00:00+00:00,2026-03-27 00:00:00+00:00,2
TRANSITION,2026-03-28 00:00:00+00:00,2026-04-08 00:00:00+00:00,12
UNSTABLE,2026-04-09 00:00:00+00:00,2026-04-11 00:00:00+00:00,3
TRANSITION,2026-04-12 00:00:00+00:00,2026-04-12 00:00:00+00:00,1
UNSTABLE,2026-04-13 00:00:00+00:00,2026-04-15 00:00:00+00:00,3
