config,n_trades,win_rate,avg_return,sharpe,max_dd,delta_vs_baseline
baseline,55,35%,0.013%,0.08343944017364546,-6.90%,0.0
resistance_>1%,18,39%,-0.017%,-0.10576616717796526,-4.06%,-0.189
resistance_>2%,4,50%,0.014%,0.07262129205364043,-1.00%,-0.011
struct_rr_>0.3,24,29%,-0.227%,-1.6894049294948739,-7.31%,-1.773
struct_rr_>0.5,11,18%,-0.618%,-8.726432513226394,-6.66%,-8.81
volume_z_<1.0,43,33%,-0.089%,-0.622466687082752,-8.13%,-0.706
volume_z_<1.5,49,35%,0.018%,0.11644197451497121,-6.44%,0.033
extension_<1.03,45,27%,-0.178%,-1.3079719048497462,-11.81%,-1.391
extension_<1.05,53,32%,-0.005%,-0.030070872945751403,-6.90%,-0.114
velocity_<2.0,40,32%,-0.087%,-0.5715654412817311,-10.53%,-0.655
