feature,bucket,n,win_rate,avg_return,sharpe
dist_to_resistance_pct,<0.5%,11,18%,-0.429%,-5.78
dist_to_resistance_pct,0.5-1%,11,36%,0.195%,1.13
dist_to_resistance_pct,1-1.5%,6,33%,0.259%,1.36
dist_to_resistance_pct,1.5-2%,1,0%,-1.000%,0.00
dist_to_resistance_pct,2-3%,3,67%,0.352%,1.67
structural_rr,<0.2,15,27%,-0.128%,-0.93
structural_rr,0.2-0.4,11,45%,0.240%,1.41
structural_rr,0.4-0.6,3,33%,0.080%,0.35
structural_rr,0.6-1.0,3,0%,-0.640%,-12.14
volume_z,-1-0,20,20%,-0.271%,-1.84
volume_z,0-0.5,10,60%,0.456%,2.84
volume_z,0.5-1,9,33%,0.064%,0.40
volume_z,1-1.5,5,40%,0.542%,2.89
volume_z,1.5-2,3,33%,-0.325%,-6.80
volume_z,>2,8,38%,-0.093%,-0.60
close_ma21_ratio,1.0-1.01,9,33%,0.040%,0.34
close_ma21_ratio,1.01-1.02,22,32%,-0.055%,-0.36
close_ma21_ratio,1.02-1.03,13,15%,-0.515%,-4.23
close_ma21_ratio,1.03-1.05,8,62%,1.036%,5.55
close_ma21_ratio,>1.05,3,67%,-0.015%,-0.13
velocity_ratio,<-1,10,40%,0.073%,0.47
velocity_ratio,-1-0,5,40%,0.318%,2.29
velocity_ratio,0.5-1,3,67%,0.606%,2.91
velocity_ratio,1-2,4,0%,-0.762%,-11.55
velocity_ratio,2-5,4,25%,-0.145%,-2.53
velocity_ratio,>5,23,30%,-0.064%,-0.39
