tp_pct,sl_pct,rr_ratio,win_rate,loss_rate,timeout_rate,expectancy,n
0.02,-0.015,1.33,0.6106870229007634,0.3435114503816794,0.04580152671755725,0.007061068702290077,131
0.02,-0.01,2.0,0.5648854961832062,0.4351145038167939,0.0,0.006946564885496184,131
0.02,-0.02,1.0,0.6259541984732825,0.2900763358778626,0.08396946564885496,0.006717557251908398,131
0.02,-0.008,2.5,0.4961832061068702,0.5038167938931297,0.0,0.005893129770992368,131
0.015,-0.01,1.5,0.6030534351145038,0.3969465648854962,0.0,0.0050763358778625955,131
0.015,-0.015,1.0,0.648854961832061,0.31297709923664124,0.03816793893129771,0.005038167938931298,131
0.015,-0.02,0.75,0.6641221374045801,0.2595419847328244,0.07633587786259542,0.004770992366412212,131
0.02,-0.005,4.0,0.3893129770992366,0.6106870229007634,0.0,0.004732824427480917,131
0.015,-0.008,1.88,0.5343511450381679,0.46564885496183206,0.0,0.004290076335877862,131
0.015,-0.005,3.0,0.42748091603053434,0.5725190839694656,0.0,0.0035496183206106865,131
0.01,-0.015,0.67,0.7251908396946565,0.25190839694656486,0.022900763358778626,0.003473282442748092,131
0.01,-0.02,0.5,0.7404580152671756,0.1984732824427481,0.061068702290076333,0.003435114503816794,131
0.01,-0.01,1.0,0.6641221374045801,0.33587786259541985,0.0,0.003282442748091603,131
0.01,-0.008,1.25,0.5954198473282443,0.40458015267175573,0.0,0.0027175572519083967,131
0.008,-0.015,0.53,0.7557251908396947,0.2366412213740458,0.007633587786259542,0.0024961832061068706,131
0.008,-0.02,0.4,0.7709923664122137,0.19083969465648856,0.03816793893129771,0.0023511450381679395,131
0.01,-0.005,2.0,0.48854961832061067,0.5114503816793893,0.0,0.002328244274809161,131
0.008,-0.01,0.8,0.6793893129770993,0.32061068702290074,0.0,0.0022290076335877863,131
0.008,-0.008,1.0,0.6106870229007634,0.3893129770992366,0.0,0.0017709923664122136,131
0.008,-0.005,1.6,0.5038167938931297,0.4961832061068702,0.0,0.0015496183206106867,131
0.005,-0.015,0.33,0.7862595419847328,0.21374045801526717,0.0,0.000725190839694657,131
0.005,-0.02,0.25,0.8091603053435115,0.16793893129770993,0.022900763358778626,0.0006870229007633591,131
0.005,-0.01,0.5,0.7022900763358778,0.29770992366412213,0.0,0.000534351145038168,131
0.003,-0.015,0.2,0.8625954198473282,0.13740458015267176,0.0,0.0005267175572519085,131
0.003,-0.02,0.15,0.8854961832061069,0.10687022900763359,0.007633587786259542,0.0005190839694656486,131
0.005,-0.005,1.0,0.5267175572519084,0.4732824427480916,0.0,0.0002671755725190839,131
0.005,-0.008,0.62,0.6335877862595419,0.366412213740458,0.0,0.00023664122137404602,131
0.003,-0.01,0.3,0.7786259541984732,0.22137404580152673,0.0,0.0001221374045801526,131
0.003,-0.005,0.6,0.6030534351145038,0.3969465648854962,0.0,-0.00017557251908396958,131
0.003,-0.008,0.38,0.7099236641221374,0.2900763358778626,0.0,-0.00019083969465648866,131
